#profondeur(�)	concentration(atome/cm3)
100.01	0
200.01	0
300.01	0
400.01	0
500.01	0
600.01	0
700.01	0
800.01	0
900.01	0
1000.01	0
1100.01	0
1200.01	1.00E-10
1300.01	0
1400.01	0
1500.01	1.00E-10
1600.01	1.00E-10
1700.01	1.00E-10
1800.01	3.00E-10
1900.01	2.00E-10
2000.01	0
2100.01	2.00E-10
2200.01	1.00E-10
2300.01	2.00E-10
2400.01	4.00E-10
2500.01	3.00E-10
2600.01	1.00E-10
2700.01	1.00E-10
2800.01	4.00E-10
2900.01	7.00E-10
3000.01	1.10E-09
3100.01	9.00E-10
3200.01	7.00E-10
3300.01	5.00E-10
3400.01	7.00E-10
3500.01	4.00E-10
3600.01	8.00E-10
3700.01	1.00E-09
3800.01	9.00E-10
3900.01	1.00E-09
4000.01	1.10E-09
4100.01	1.50E-09
4200.01	1.90E-09
4300.01	2.40E-09
4400.01	1.20E-09
4500.01	2.50E-09
4600.01	2.60E-09
4700.01	1.80E-09
4800.01	2.80E-09
4900.01	2.00E-09
5000.01	2.70E-09
5100.01	1.90E-09
5200.01	2.40E-09
5300.01	2.00E-09
5400.01	1.70E-09
5500.01	1.40E-09
5600.01	2.10E-09
5700.01	5.00E-10
5800.01	8.00E-10
5900.01	1.10E-09
6000.01	7.00E-10
6100.01	5.00E-10
6200.01	6.00E-10
6300.01	1.00E-10
6400.01	1.00E-10
6500.01	2.00E-10
6600.01	0
6700.01	0
6800.01	0
6900.01	0
7000.01	0
7100.01	0
7200.01	0
7300.01	0
7400.01	0
7500.01	0
7600.01	0
7700.01	0
7800.01	0
7900.01	0
8000.01	0
8100.01	0
8200.01	0
8300.01	0
8400.01	0
8500.01	0
8600.01	0
8700.01	0
8800.01	0
8900.01	0
9000.01	0
9100.01	0
9200.01	0
9300.01	0
9400.01	0
9500.01	0
9600.01	0
9700.01	0
9800.01	0
9900.01	0
10000	0
